Name,URL
Adalbert-Stifter-Schule Werkrealschule,http://www.schulliste.eu/schule/188-adalbert-stifter-schule-werkrealschule/
St.Bernhardt-Grundschule,http://www.schulliste.eu/schule/189-st-bernhardt-grundschule/
Silcherschule Grundschule,http://www.schulliste.eu/schule/190-silcherschule-grundschule/
Waisenhofschule Grundschule,http://www.schulliste.eu/schule/191-waisenhofschule-grundschule/
Grundschule Hegensberg-Liebersbronn,http://www.schulliste.eu/schule/192-grundschule-hegensberg-liebersbronn/
Grundschule Mettingen,http://www.schulliste.eu/schule/193-grundschule-mettingen/
Grundschule Sulzgries,http://www.schulliste.eu/schule/194-grundschule-sulzgries/
Eichendorffschule Grundschule Zollberg,http://www.schulliste.eu/schule/195-eichendorffschule-grundschule-zollberg/
Grundschule Zell,http://www.schulliste.eu/schule/196-grundschule-zell/
Bruckenacker-Schule Grundschule Bernhausen,http://www.schulliste.eu/schule/199-bruckenacker-schule-grundschule-bernhausen/
Bruckenacker-Schule Grundschule Bernhausen AuÃenstelle Sielmingen,http://www.schulliste.eu/schule/200-bruckenacker-schule-grundschule-bernhausen-au-enstelle-sielmingen/
"Gotthard-MÃ¼ller-Schule Grund-, Gemeinschafts- und Werkrealschule Bernhausen",http://www.schulliste.eu/schule/201-gotthard-muller-schule-grund-und-werkrealschule-bernhausen/
Grundschule Bonlanden,http://www.schulliste.eu/schule/202-grundschule-bonlanden/
Grundschule Bonlanden AuÃenstelle Schiller-Grundschule Bonlanden,http://www.schulliste.eu/schule/203-grundschule-bonlanden-au-enstelle-schiller-grundschule-bonlanden/
Jahnschule Grund- und Hauptschule Harthausen,http://www.schulliste.eu/schule/204-jahnschule-grund-und-hauptschule-harthausen/
Grundschule Plattenhardt,http://www.schulliste.eu/schule/205-grundschule-plattenhardt/
Werkrealschule Bildungszentrum SeefÃ¤lle Bonlanden,http://www.schulliste.eu/schule/206-werkrealschule-bildungszentrum-seefalle-bonlanden/
Wielandschule Sielmingen Grundschule,http://www.schulliste.eu/schule/207-wielandschule-sielmingen-grundschule/
Grund- und Hauptschule AuÃenstelle Grundschule Schule im Dorf,http://www.schulliste.eu/schule/208-grund-und-hauptschule-au-enstelle-grundschule-schule-im-dorf/
Kirchertschule Grundschule Tischardt,http://www.schulliste.eu/schule/209-kirchertschule-grundschule-tischardt/
Grundschule Linsenhofen,http://www.schulliste.eu/schule/210-grundschule-linsenhofen/
Grundschule GroÃbettlingen,http://www.schulliste.eu/schule/211-grundschule-gro-bettlingen/
Breitwiesenschule Grundschule Hochdorf,http://www.schulliste.eu/schule/212-breitwiesenschule-grundschule-hochdorf/
Grundschule Holzmaden,http://www.schulliste.eu/schule/213-grundschule-holzmaden/
Lindachschule Jesingen,http://www.schulliste.eu/schule/214-grund-und-hauptschule-mit-werkrealschule-jesingen/
Alleenschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/215-alleenschule-grund-und-werkrealschule/
Raunerschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/216-raunerschule-grund-und-werkrealschule/
