Name,Bundesland,Schultyp,Kategorien,email_encoded,,
Grundschule Weilheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule an der Hügelstraße,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
"Geschwister-Scholl-Schule Waldhäuser-Ost Haupt-, Realschule und Gymnasium",Baden-Württemberg,Öffentlich, Hauptschulen  Realschulen ,0,,
Französische Schule Ganztagsgrundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule am Hechinger Eck,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule am Hechinger Eck Außenstelle Ludwig-Krapf-Schule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Ignaz-Demeter-Schule Grund- und Hauptschule Lautlingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Kirchgrabenschule Grundschule Ebingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schalksburgschule Grund- und Hauptschule Ebingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Oststadtschule Grundschule Ebingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Laufen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hohenbergschule Grund- und Werkrealschule Ebingen,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Schillerschule Grund- und Werkrealschule Onstmettingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Pfeffingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Lutherschule Grund- und Werkrealschule Tailfingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Lammerberg-Grundschule Tailfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Langenwandschule Grundschule Tailfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schule an der Sommerhalde Grundschule Truchtelfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Sichelschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Sichelschule Grund- und Werkrealschule Außenstelle Werkrealschule Längenfeldschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Längenfeldschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Endingen-Erzingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Langwiesenschule Grund- und Hauptschule mit Werkrealschule Engstlatt,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Werkrealschule Frommern,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grung- und Werkrealschule Frommern Außenstelle Werkrealschule Weilstetten,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Weilstetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Weilstetten Außenstelle Rosswangen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Schmiden,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Streichen/Zillhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Bisingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Lichtensteinschule Bitz Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Winterlingen Außenstelle Werkrealschule Bitz,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Hausen im Killertal,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Stetten unter Holstein,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Burladingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Werkrealschule Burladingen Aussenstelle Grundschule Gauselfingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Ringingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schlossbergschule Grundschule Außenstelle Dormettingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Schömberg Außenstelle Werkrealschule Dotternhausen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Schlossparkschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Binsdorf-Erlaheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Bisingen Außenstelle Werkrealschule Großelfingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Hainburgschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Haigerloch-Gruol,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Witthauschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Werkrealschule Haigerloch-Stetten,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Grundschule Trillfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Trillfingen Außenstelle Bad Imnau,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Owingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Hechingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Hechingen Außenstelle Zollerstraße,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Sickingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Hartheim-Heinstetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Hartheim-Heinstetten Außenstelle Heinstetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Burgschule Grund- und Werkrealschule Außenstelle Grundschule Hossingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Burgschule Grund- und Werkrealschule Außenstelle Grundschule Büloch,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Tieringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Tieringen Außenstelle Oberdigisheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Kallenbergschule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Joachim-Schäfer-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Heiligen-Zimmern-Isingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Heiligen-Zimmern-Isingen Außenstelle Heiligenzimmern,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Leidringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Iselin-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Schörzingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schlossgartenschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Paul-Hepp-Schule Grundschule Benzingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Harthausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Martin-Schaffner-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Adalbert-Stifter-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Albrecht-Berblinger-Werkrealschule,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Albrecht-Berblinger-Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Eduard-Mörike-Schule Grund- und Werkrealschule Böfingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Eduard-Mörike-Schule Grund- und Werkrealschule Außenstelle Werkrealschule Gutenburg-Schule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Bildungshaus Ulmer Spatz Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Friedrichsau-Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hans-Multscher-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Jörg-Syrlin-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Michelsberg,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
SZ Stadtmitte/Ost Spitalhofschule Grund-und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
SZ Stadtmitte/Ost Spitalhofschule Grund-und Werkrealschule Außenstelle Werkrealschule M.-Schäffner-S,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Eichenplatz,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Grimmelfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Gutenberg-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Meinloh-Grundschule Söflingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Unterweiler,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Sägefeldschule Grund- und Werkrealschule Wiblingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Eggingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Einsingen Außenstelle Werkrealschule Meinlohschule Ulm,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Werkrealschule Einsingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Ermingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Riedlen-Grundschule Gögglingen-Donaustetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schönenberg-Grundschule Lehr,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Schönenberg-Grundschule Lehr Außenstelle Mähringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule am Tannen-Platz Wiblingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule am Tannen-Platz Wiblingen Außenstelle Erenlauh,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Regenbogenschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Maria-Sibylla-Merian-Schule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Weilersteusslingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Albecker-Tor-Schule Grund- und Werkrealschule Langenau Außenstelle Werkrealschule Altheim,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Aurainschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Schalkstetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Verbandsgrundschule Heusteige Außenstelle Asselfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Verbandsgrundschule Unteres Lonetal,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Balzheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Heroldstatt Außenstelle Werkrealschule Berghülen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Berghülen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Blautopf-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Asch,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Gerhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Seissen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Arnegg,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Ludwig-Uhland-Schule Grundschule Ehrenstein,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Bermaringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Wippingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Lindenhofschule Grund- und Werkrealschule Herrlingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Lindenhofschule Grund- und Werkrealschule Außenstelle Werkrealschule Klingenstein,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Werkrealschule Dietenheim-Illerrieden,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Grundschule Regglisweiler,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Dietenheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Bühl-Werkrealschule,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Bühl-Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Bühl-Grundschule Dornstadt Außenstelle Bollingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Temmenhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Tomerdingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Berg,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Michel-Buck-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Längenfeldschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Hauptschule Kirchbierlingen,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Hauptschule Kirchbierlingen Aussenstelle Schaiblishausen,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Grundschule Kirchen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Risstissen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule im Alten Konvikt,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Erbstetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
